v1,v2,v3,v4,v5
5639782,137.48018,6,1,5
5639782,261.04761,4,12,5
5639782,247.64055,2,11,5
5639782,223.67857,1,8,5
5639782,129.29944,4,1,5
5639782,191.21182,3,3,5
5639782,147.00565,4,1,5
5639782,181.82948,6,11,5
5639782,194.28,0,9,5
5639782,174.05464,2,1,5
5639782,167.51744,0,8,5
5639782,235.94247,5,4,5
5639782,263.68723,3,4,5
5639782,254.93333,6,4,5
5639782,122.83553,5,2,5
5639782,182.29018,6,3,5
5639782,264.10675,1,12,5
5639782,134.5787,5,2,5
5639782,231.43318,4,4,5
5639782,205.2027,6,11,5
5639782,137.92178,3,2,5
5639782,370.28195,3,9,5
5639782,192.26941,2,3,5
5639782,119.46977,0,2,5
5639782,160.13855,0,11,5
5639782,220.0798,6,9,5
5639782,159.36574,0,11,5
5639782,226.58879,2,4,5
5639782,193.47485,0,4,5
5639782,235.5815,3,8,5
5639782,212.59789,1,11,5
5639782,147.94707,3,1,5
5639782,139.75842,1,2,5
5639782,113.83648,0,2,5
5639782,131.12093,0,3,5
5639782,176.89394,0,6,5
5639782,195.89687,5,3,5
5639782,247.47137,6,10,5
5639782,230.55676,4,11,5
5639782,131.34752,1,1,5
5639782,242.64545,1,6,5
5639782,184.56387,2,1,5
5639782,188.33511,4,8,5
5639782,121.1746,3,1,5
5639782,236.80788,1,4,5
5639782,246.49524,2,4,5
5639782,277.9469,3,6,5
5639782,215.50446,5,4,5
5639782,187.57709,6,2,5
5639782,133.22293,0,11,5
5639782,254.99554,6,8,5
5639782,201.34703,3,8,5
5639782,391.11014,2,12,5
5639782,185.16518,4,8,5
5639782,254.86784,4,5,5
5639782,282.48148,5,12,5
5639782,180.22099,0,4,5
5639782,214.41333,5,3,5
5639782,231.08369,4,4,5
5639782,201.70924,4,3,5
5639782,277.97308,5,9,5
5639782,322.04846,3,5,5
5639782,304.8093,1,5,5
5639782,168.48357,5,7,5
5639782,308.38,2,12,5
5639782,229.21759,2,7,5
5639782,282.19824,3,10,5
5639782,183.84889,2,8,5
5639782,269.95068,6,12,5
5639782,166.64455,4,3,5
5639782,245.77879,1,5,5
5639782,136.5461,0,1,5
5639782,263.11111,4,10,5
5639782,161.71001,4,7,5
5639782,283.32742,3,6,5
5639782,193.44749,4,5,5
5639782,208.4269,0,9,5
5639782,287.07047,5,10,5
5639782,179.40279,5,8,5
5639782,278.53705,3,10,5
5639782,156.44595,5,2,5
5639782,235.84325,0,10,5
5639782,209.69035,1,4,5
5639782,157.23041,4,1,5
5639782,212.03613,1,4,5
5639782,255.98943,4,9,5
5639782,131.56345,4,2,5
5639782,217.00909,3,8,5
5639782,214.28648,0,6,5
5639782,202.77928,4,7,5
5639782,175.97321,1,3,5
5639782,241.20305,2,11,5
5639782,185.9911,5,8,5
5639782,236.2233,3,4,5
5639782,265.54413,1,10,5
5639782,139.776,4,1,5
5639782,229.20361,3,7,5
5639782,132.73077,4,2,5
5639782,201.66463,4,11,5
5639782,156,4,1,5
5639782,181.87566,1,5,5
5639782,221.85365,4,4,5
5639782,198.10106,4,5,5
5639782,181.43414,0,8,5
5639782,173.92694,1,2,5
5639782,124.77895,5,1,5
5639782,284.68283,6,11,5
5639782,157.87654,2,7,5
5639782,229.42308,2,11,5
5639782,346.52444,2,9,5
5639782,179.48744,1,3,5
5639782,344.38394,1,9,5
5639782,169.43367,0,5,5
5639782,141.44853,3,1,5
5639782,156.24001,3,7,5
5639782,279.92889,1,9,5
5639782,334.72247,6,10,5
5639782,193.84753,4,6,5
5639782,178.88263,6,12,5
5639782,209.15207,5,9,5
5639782,202.42723,4,11,5
5639782,150.38255,2,2,5
5639782,182.59375,3,9,5
5639782,201.9734,5,6,5
5639782,349.15045,3,12,5
5639782,151.11053,1,7,5
5639782,244.81499,2,8,5
5639782,202.18265,6,11,5
5639782,210.8869,4,6,5
5639782,205.05141,5,11,5
5639782,289.33627,6,10,5
5639782,164.83249,2,1,5
5639782,201.82883,4,11,5
5639782,207.53304,4,3,5
5639782,216.16,2,8,5
5639782,219.28252,4,6,5
5639782,271.67273,5,5,5
5639782,282.57779,5,10,5
5639782,160.41837,1,12,5
5639782,247.56682,5,9,5
5639782,185.26147,4,8,5
5639782,157.95187,5,12,5
5639782,186.37445,6,3,5
5639782,150.92308,2,12,5
5639782,285.98996,1,9,5
5639782,179.61751,5,7,5
5639782,215.08411,5,10,5
5639782,358.65332,2,5,5
5639782,210.38739,1,7,5
5639782,189.74242,3,7,5
5639782,352.2467,3,9,5
5639782,146.24713,3,12,5
5639782,141.0145,6,1,5
5639782,276.44077,2,10,5
5639782,311.54501,3,12,5
5639782,140.53,0,12,5
5639782,201.85947,0,5,5
5639782,118.41622,6,2,5
5639782,344.5,6,5,5
5639782,147.83179,6,1,5
5639782,202.27011,0,11,5
5639782,146.60001,6,2,5
5639782,176.03175,0,5,5
5639782,185.9646,4,12,5
5639782,161.73575,0,7,5
5639782,154.006,0,3,5
5639782,183.47112,3,8,5
5639782,208.60773,1,7,5
5639782,157.2963,0,6,5
5639782,227.64706,1,10,5
5639782,238.73569,3,7,5
5639782,186.27315,5,6,5
5639782,168.03683,3,1,5
5639782,189.56055,6,7,5
5639782,211.21925,1,4,5
5639782,180.73631,1,11,5
5639782,204.85388,5,5,5
5639782,256.77103,6,12,5
5639782,277.87665,3,5,5
5639782,155.3511,6,2,5
5639782,199.68304,5,8,5
5639782,172.72685,0,8,5
5639782,238.35822,2,4,5
5639782,225.22968,1,10,5
5639782,182.35071,1,3,5
5639782,160.5641,0,7,5
5639782,208.15022,3,5,5
